inspection_ym,borough,avg_prcp,avg_snow,avg_snwd,avg_tmin,avg_tmax,avg_temp,covid_yn,boro_code,inspection_month_n,borough_monthly_cases,inspection_month
2012-1,Bronx,3.3189449541284404,0,3.836697247706422,0.9588990825688073,7.71,4.334449541284403,0,2,1,2180,Jan
2012-1,Brooklyn,3.511357552581262,0,1.8722753346080305,0.39414913957934994,7.884091778202677,4.139120458891013,0,1,1,2615,Jan
2012-1,Manhattan,2.8740077821011676,0,4.375097276264592,-0.30124513618677046,7.374630350194552,3.536692607003891,0,1,1,1285,Jan
2012-1,Queens,4.0931882686849574,0,2.9914853358561966,0.29962157048249766,7.4314096499526965,3.865515610217597,0,4,1,1057,Jan
2012-1,Staten Island,3.802547770700637,0,5.63375796178344,0.08455414012738853,7.472452229299363,3.778503184713376,0,5,1,628,Jan
2012-10,Bronx,2.223607647547797,0,0,12.093433083956775,18.474168744804654,15.283800914380715,0,2,10,4812,Oct
2012-10,Brooklyn,1.6766193944039862,0,0,12.673898045228057,18.877270985051744,15.7755845151399,0,1,10,2609,Oct
2012-10,Manhattan,1.9818482941371316,0,0,12.204438555813184,18.396753892017223,15.300596223915203,0,1,10,3019,Oct
2012-10,Queens,2.637150837988827,0,0,12.582495344506517,18.741154562383613,15.661824953445066,0,4,10,1074,Oct
2012-10,Staten Island,2.7993333333333332,0,0,12.845333333333333,18.575333333333333,15.710333333333333,0,5,10,150,Oct
2012-11,Bronx,2.7758708852668583,5.956855225311601,0,2.894119527005433,8.943208692873123,5.918664109939278,0,2,11,3129,Nov
2012-11,Brooklyn,2.3014063656550703,5.082901554404145,0,2.2699481865284974,8.063286454478165,5.166617320503331,0,1,11,1351,Nov
2012-11,Manhattan,1.2901385493072535,4.208638956805216,1.2469437652811737,2.5836185819070905,8.534066829665852,5.558842705786471,0,1,11,1227,Nov
2012-11,Queens,2.060188679245283,0,0,2.4049056603773584,7.592264150943396,4.998584905660377,0,4,11,530,Nov
2012-11,Staten Island,2.5559701492537314,0,0,2.8615671641791045,9.055223880597016,5.95839552238806,0,5,11,268,Nov
2012-12,Bronx,2.7049605781865966,0.2923784494086728,0,3.221156373193167,9.496879106438897,6.359017739816032,0,2,12,3044,Dec
2012-12,Brooklyn,3.461074061074061,0.22464022464022465,0,2.9025272025272026,9.845981045981047,6.374254124254125,0,1,12,2849,Dec
2012-12,Manhattan,3.673960396039604,0.4158415841584158,0,3.1352145214521454,9.415346534653466,6.2752805280528055,0,1,12,3030,Dec
2012-12,Queens,4.131610169491525,0.4915254237288136,0,1.8773728813559323,8.07957627118644,4.978474576271186,0,4,12,1180,Dec
2012-12,Staten Island,3.3253561253561252,0.3418803418803419,0,2.4578347578347577,9.04957264957265,5.753703703703703,0,5,12,351,Dec
2012-2,Bronx,1.67244386713676,0,0,2.689107441083689,9.513527556132864,6.101317498608276,0,2,2,5389,Feb
2012-2,Brooklyn,1.2528442648430214,0,0,2.488281007149518,9.355362138638483,5.921821572894,0,1,2,3217,Feb
2012-2,Manhattan,2.1118606375092663,0.0037064492216456633,0,2.63587842846553,9.257375833951075,5.946627131208302,0,1,2,1349,Feb
2012-2,Queens,1.9545955882352941,0.0030637254901960784,0,3.092524509803922,9.512928921568628,6.3027267156862745,0,4,2,1632,Feb
2012-2,Staten Island,1.4695454545454545,0,0,2.191060606060606,9.139848484848486,5.665454545454546,0,5,2,660,Feb
2012-3,Bronx,0.8431833007175472,0,0,5.100456621004566,14.601848227875625,9.851152424440095,0,2,3,4599,Mar
2012-3,Brooklyn,0.3836864406779661,0,0,7.969350282485876,17.68060734463277,12.824978813559323,0,1,3,7080,Mar
2012-3,Manhattan,0.33416666666666667,0,0,7.570029761904762,17.659300595238093,12.614665178571428,0,1,3,6720,Mar
2012-3,Queens,0.7317191283292978,0,0,6.915690072639225,15.9846004842615,11.450145278450362,0,4,3,2065,Mar
