result,borough,inspection_month,inspection_year,inspection_daytime,covid_yn,prcp,snow,snwd,tmin,tmax,inspection_result,avg_temp,feeling,prcp_yn,snow_yn,snwd_yn
Rat Activity,Bronx,Apr,2021,Morning,1,21.1,0,0,7.2,14.4,1,10.8,Cool,1,0,0
Passed,Bronx,Apr,2021,Afternoon,1,21.1,0,0,7.2,14.4,0,10.8,Cool,1,0,0
Rat Activity,Queens,Apr,2021,Morning,1,21.1,0,0,7.2,14.4,1,10.8,Cool,1,0,0
Rat Activity,Bronx,Apr,2021,Afternoon,1,21.1,0,0,7.2,14.4,1,10.8,Cool,1,0,0
Rat Activity,Staten Island,Apr,2021,Morning,1,21.1,0,0,7.2,14.4,1,10.8,Cool,1,0,0
Passed,Staten Island,Apr,2021,Afternoon,1,21.1,0,0,7.2,14.4,0,10.8,Cool,1,0,0
Rat Activity,Manhattan,Apr,2021,Morning,1,1,0,0,5,11.7,1,8.35,Cold,1,0,0
Passed,Brooklyn,Apr,2021,Afternoon,1,1,0,0,5,11.7,0,8.35,Cold,1,0,0
Rat Activity,Brooklyn,Apr,2021,Afternoon,1,1,0,0,5,11.7,1,8.35,Cold,1,0,0
Passed,Brooklyn,Apr,2021,Morning,1,1,0,0,5,11.7,0,8.35,Cold,1,0,0
Passed,Manhattan,Apr,2021,Afternoon,1,1,0,0,5,11.7,0,8.35,Cold,1,0,0
Passed,Manhattan,Apr,2021,Morning,1,1,0,0,5,11.7,0,8.35,Cold,1,0,0
Passed,Queens,Apr,2021,Morning,1,1,0,0,5,11.7,0,8.35,Cold,1,0,0
Rat Activity,Brooklyn,Apr,2021,Morning,1,1,0,0,5,11.7,1,8.35,Cold,1,0,0
Passed,Bronx,Apr,2021,Morning,1,1,0,0,5,11.7,0,8.35,Cold,1,0,0
Rat Activity,Bronx,Apr,2021,Afternoon,1,1,0,0,5,11.7,1,8.35,Cold,1,0,0
Rat Activity,Bronx,Apr,2021,Morning,1,1,0,0,5,11.7,1,8.35,Cold,1,0,0
Passed,Bronx,Apr,2021,Afternoon,1,1,0,0,5,11.7,0,8.35,Cold,1,0,0
Passed,Staten Island,Apr,2021,Morning,1,1,0,0,5,11.7,0,8.35,Cold,1,0,0
Rat Activity,Queens,Apr,2021,Morning,1,1,0,0,5,11.7,1,8.35,Cold,1,0,0
Rat Activity,Manhattan,Apr,2021,Afternoon,1,1,0,0,5,11.7,1,8.35,Cold,1,0,0
Passed,Queens,Apr,2021,Afternoon,1,1,0,0,5,11.7,0,8.35,Cold,1,0,0
Rat Activity,Staten Island,Apr,2021,Morning,1,1,0,0,5,11.7,1,8.35,Cold,1,0,0
Passed,Brooklyn,Apr,2021,Morning,1,0,0,0,11.1,18.3,0,14.7,Cool,0,0,0
Rat Activity,Manhattan,Apr,2021,Morning,1,0,0,0,11.1,18.3,1,14.7,Cool,0,0,0
Passed,Manhattan,Apr,2021,Morning,1,0,0,0,11.1,18.3,0,14.7,Cool,0,0,0
Rat Activity,Queens,Apr,2021,Morning,1,0,0,0,11.1,18.3,1,14.7,Cool,0,0,0
Rat Activity,Brooklyn,Apr,2021,Morning,1,0,0,0,11.1,18.3,1,14.7,Cool,0,0,0
Passed,Bronx,Apr,2021,Morning,1,0,0,0,11.1,18.3,0,14.7,Cool,0,0,0
Passed,Bronx,Apr,2021,Afternoon,1,0,0,0,11.1,18.3,0,14.7,Cool,0,0,0
Rat Activity,Brooklyn,Apr,2021,Afternoon,1,0,0,0,11.1,18.3,1,14.7,Cool,0,0,0
Passed,Manhattan,Apr,2021,Afternoon,1,0,0,0,11.1,18.3,0,14.7,Cool,0,0,0
Passed,Brooklyn,Apr,2021,Afternoon,1,0,0,0,11.1,18.3,0,14.7,Cool,0,0,0
Rat Activity,Manhattan,Apr,2021,Afternoon,1,0,0,0,11.1,18.3,1,14.7,Cool,0,0,0
Rat Activity,Bronx,Apr,2021,Afternoon,1,0,0,0,11.1,18.3,1,14.7,Cool,0,0,0
Rat Activity,Bronx,Apr,2021,Morning,1,0,0,0,11.1,18.3,1,14.7,Cool,0,0,0
Passed,Bronx,Apr,2021,Morning,1,0,0,0,-2.1,3.9,0,0.8999999999999999,Cold,0,0,0
Passed,Brooklyn,Apr,2021,Morning,1,0,0,0,-2.1,3.9,0,0.8999999999999999,Cold,0,0,0
Rat Activity,Bronx,Apr,2021,Morning,1,0,0,0,-2.1,3.9,1,0.8999999999999999,Cold,0,0,0
Passed,Brooklyn,Apr,2021,Afternoon,1,0,0,0,-2.1,3.9,0,0.8999999999999999,Cold,0,0,0
Passed,Staten Island,Apr,2021,Morning,1,0,0,0,-2.1,3.9,0,0.8999999999999999,Cold,0,0,0
Passed,Manhattan,Apr,2021,Morning,1,0,0,0,-2.1,3.9,0,0.8999999999999999,Cold,0,0,0
Rat Activity,Manhattan,Apr,2021,Morning,1,0,0,0,-2.1,3.9,1,0.8999999999999999,Cold,0,0,0
Rat Activity,Staten Island,Apr,2021,Afternoon,1,0,0,0,-2.1,3.9,1,0.8999999999999999,Cold,0,0,0
Rat Activity,Brooklyn,Apr,2021,Morning,1,0,0,0,-2.1,3.9,1,0.8999999999999999,Cold,0,0,0
Rat Activity,Brooklyn,Apr,2021,Afternoon,1,0,0,0,-2.1,3.9,1,0.8999999999999999,Cold,0,0,0
Passed,Bronx,Apr,2021,Afternoon,1,0,0,0,-2.1,3.9,0,0.8999999999999999,Cold,0,0,0
Rat Activity,Staten Island,Apr,2021,Morning,1,0,0,0,-2.1,3.9,1,0.8999999999999999,Cold,0,0,0
Rat Activity,Manhattan,Apr,2021,Afternoon,1,0,0,0,-2.1,3.9,1,0.8999999999999999,Cold,0,0,0
Rat Activity,Queens,Apr,2021,Morning,1,0,0,0,-2.1,3.9,1,0.8999999999999999,Cold,0,0,0
Rat Activity,Bronx,Apr,2021,Afternoon,1,0,0,0,-2.1,3.9,1,0.8999999999999999,Cold,0,0,0
Passed,Queens,Apr,2021,Morning,1,0,0,0,-2.1,3.9,0,0.8999999999999999,Cold,0,0,0
Passed,Manhattan,Apr,2021,Afternoon,1,0,0,0,-2.1,3.9,0,0.8999999999999999,Cold,0,0,0
Passed,Staten Island,Apr,2021,Afternoon,1,0,0,0,-2.1,3.9,0,0.8999999999999999,Cold,0,0,0
Rat Activity,Manhattan,Apr,2021,Morning,1,0,0,0,11.7,24.4,1,18.049999999999997,Cool,0,0,0
Passed,Manhattan,Apr,2021,Morning,1,0,0,0,11.7,24.4,0,18.049999999999997,Cool,0,0,0
Rat Activity,Brooklyn,Apr,2021,Morning,1,0,0,0,11.7,24.4,1,18.049999999999997,Cool,0,0,0
Passed,Bronx,Apr,2021,Morning,1,0,0,0,11.7,24.4,0,18.049999999999997,Cool,0,0,0
Passed,Brooklyn,Apr,2021,Afternoon,1,0,0,0,11.7,24.4,0,18.049999999999997,Cool,0,0,0
Passed,Bronx,Apr,2021,Afternoon,1,0,0,0,11.7,24.4,0,18.049999999999997,Cool,0,0,0
Passed,Queens,Apr,2021,Morning,1,0,0,0,11.7,24.4,0,18.049999999999997,Cool,0,0,0
Passed,Brooklyn,Apr,2021,Morning,1,0,0,0,11.7,24.4,0,18.049999999999997,Cool,0,0,0
Rat Activity,Bronx,Apr,2021,Afternoon,1,0,0,0,11.7,24.4,1,18.049999999999997,Cool,0,0,0
Rat Activity,Brooklyn,Apr,2021,Afternoon,1,0,0,0,11.7,24.4,1,18.049999999999997,Cool,0,0,0
Passed,Staten Island,Apr,2021,Morning,1,0,0,0,11.7,24.4,0,18.049999999999997,Cool,0,0,0
Rat Activity,Queens,Apr,2021,Morning,1,0,0,0,11.7,24.4,1,18.049999999999997,Cool,0,0,0
Passed,Manhattan,Apr,2021,Afternoon,1,0,0,0,11.7,24.4,0,18.049999999999997,Cool,0,0,0
Rat Activity,Manhattan,Apr,2021,Afternoon,1,0,0,0,11.7,24.4,1,18.049999999999997,Cool,0,0,0
Passed,Manhattan,Apr,2021,Morning,1,2.8,0,0,3.9,20,0,11.95,Cool,1,0,0
Passed,Bronx,Apr,2021,Morning,1,2.8,0,0,3.9,20,0,11.95,Cool,1,0,0
Passed,Manhattan,Apr,2021,Afternoon,1,2.8,0,0,3.9,20,0,11.95,Cool,1,0,0
Rat Activity,Manhattan,Apr,2021,Morning,1,2.8,0,0,3.9,20,1,11.95,Cool,1,0,0
Passed,Brooklyn,Apr,2021,Afternoon,1,2.8,0,0,3.9,20,0,11.95,Cool,1,0,0
Rat Activity,Queens,Apr,2021,Morning,1,2.8,0,0,3.9,20,1,11.95,Cool,1,0,0
Rat Activity,Bronx,Apr,2021,Morning,1,2.8,0,0,3.9,20,1,11.95,Cool,1,0,0
Rat Activity,Brooklyn,Apr,2021,Morning,1,2.8,0,0,3.9,20,1,11.95,Cool,1,0,0
Passed,Brooklyn,Apr,2021,Morning,1,2.8,0,0,3.9,20,0,11.95,Cool,1,0,0
Rat Activity,Brooklyn,Apr,2021,Afternoon,1,2.8,0,0,3.9,20,1,11.95,Cool,1,0,0
Rat Activity,Staten Island,Apr,2021,Morning,1,2.8,0,0,3.9,20,1,11.95,Cool,1,0,0
Rat Activity,Manhattan,Apr,2021,Afternoon,1,2.8,0,0,3.9,20,1,11.95,Cool,1,0,0
Rat Activity,Bronx,Apr,2021,Afternoon,1,2.8,0,0,3.9,20,1,11.95,Cool,1,0,0
Passed,Queens,Apr,2021,Morning,1,2.8,0,0,3.9,20,0,11.95,Cool,1,0,0
Passed,Bronx,Apr,2021,Afternoon,1,2.8,0,0,3.9,20,0,11.95,Cool,1,0,0
Passed,Staten Island,Apr,2021,Morning,1,2.8,0,0,3.9,20,0,11.95,Cool,1,0,0
Rat Activity,Queens,Apr,2021,Afternoon,1,2.8,0,0,3.9,20,1,11.95,Cool,1,0,0
Passed,Queens,Apr,2021,Afternoon,1,2.8,0,0,3.9,20,0,11.95,Cool,1,0,0
Passed,Brooklyn,Apr,2021,Afternoon,1,0,0,0,2.2,8.9,0,5.550000000000001,Cold,0,0,0
Rat Activity,Manhattan,Apr,2021,Morning,1,0,0,0,2.2,8.9,1,5.550000000000001,Cold,0,0,0
Rat Activity,Brooklyn,Apr,2021,Afternoon,1,0,0,0,2.2,8.9,1,5.550000000000001,Cold,0,0,0
Passed,Bronx,Apr,2021,Morning,1,0,0,0,2.2,8.9,0,5.550000000000001,Cold,0,0,0
Passed,Manhattan,Apr,2021,Morning,1,0,0,0,2.2,8.9,0,5.550000000000001,Cold,0,0,0
Passed,Brooklyn,Apr,2021,Morning,1,0,0,0,2.2,8.9,0,5.550000000000001,Cold,0,0,0
Rat Activity,Bronx,Apr,2021,Afternoon,1,0,0,0,2.2,8.9,1,5.550000000000001,Cold,0,0,0
Rat Activity,Queens,Apr,2021,Morning,1,0,0,0,2.2,8.9,1,5.550000000000001,Cold,0,0,0
Rat Activity,Brooklyn,Apr,2021,Morning,1,0,0,0,2.2,8.9,1,5.550000000000001,Cold,0,0,0
