"","inspection_ym","borough","avg_prcp","avg_snow","avg_snwd","avg_tmin","avg_tmax"
"16","2012-12","Bronx",2.70496057818657,0.292378449408682,0,3.22115637319317,9.49687910643888
"17","2012-12","Brooklyn",3.46107406107407,0.224640224640232,0,2.9025272025272,9.84598104598104
"18","2012-12","Manhattan",3.67396039603964,0.415841584158401,0,3.13521452145214,9.41534653465346
"19","2012-12","Queens",4.13161016949153,0.491525423728815,0,1.87737288135593,8.07957627118645
"20","2012-12","Staten Island",3.32535612535613,0.341880341880343,0,2.45783475783476,9.04957264957265
"21","2012-2","Bronx",1.67244386713674,0,0,2.68910744108372,9.51352755613288
"22","2012-2","Brooklyn",1.25284426484302,0,0,2.48828100714952,9.3553621386385
"23","2012-2","Manhattan",2.11186063750927,0.00370644922164557,0,2.63587842846553,9.25737583395108
"24","2012-2","Queens",1.95459558823529,0.00306372549019612,0,3.09252450980392,9.51292892156863
"25","2012-2","Staten Island",1.46954545454546,0,0,2.19106060606061,9.13984848484848
"26","2012-3","Bronx",0.843183300717539,0,0,5.10045662100457,14.6018482278757
"27","2012-3","Brooklyn",0.383686440677959,0,0,7.96935028248589,17.6806073446328
"28","2012-3","Manhattan",0.334166666666675,0,0,7.57002976190474,17.6593005952382
"29","2012-3","Queens",0.731719128329293,0,0,6.91569007263922,15.9846004842615
"30","2012-3","Staten Island",0.495371900826447,0,0,6.44595041322314,16.1838016528926
"31","2012-4","Bronx",0.4976401179941,0,0,8.22666666666665,17.825191740413
"32","2012-4","Brooklyn",1.30812304016725,0,0,8.04987307749733,17.8002837091235
"33","2012-4","Manhattan",0.395883309615773,0,0,7.28796503354348,17.2518601341736
"34","2012-4","Queens",0.544780962682534,0,0,7.97122769064358,17.8200648999459
"35","2012-4","Staten Island",0.53465648854962,0,0,7.91007633587786,17.773893129771
"36","2012-5","Bronx",6.03794002607562,0,0,14.2621251629726,20.9294654498044
"37","2012-5","Brooklyn",5.39366081229419,0,0,14.3269209659715,21.2114023051591
"38","2012-5","Manhattan",4.80673372154579,0,0,13.8378718898888,20.8026680783484
"39","2012-5","Queens",5.31927829955513,0,0,13.8029658922393,20.7760751359367
"40","2012-5","Staten Island",7.24485294117647,0,0,14.4371323529412,21.3191176470588
"41","2012-6","Bronx",2.58053177106805,0,0,18.0073005858495,27.3406038756197
"42","2012-6","Brooklyn",3.12194937665265,0,0,16.7721445661755,25.5117365571087
"43","2012-6","Manhattan",3.84566420664204,0,0,16.5742773677737,25.0986008610086
"44","2012-6","Queens",3.02252985884905,0,0,16.7078175895765,25.7346362649294
"45","2012-6","Staten Island",3.208,0,0,16.092,24.2726666666667
"46","2012-7","Bronx",3.20550216694928,0,0,21.3336348219333,30.3856604484643
"47","2012-7","Brooklyn",3.61323796548596,0,0,21.6779291553134,31.0675522252498
"48","2012-7","Manhattan",2.98233611966571,0,0,21.7067311922569,31.1210074791025
"49","2012-7","Queens",3.90182260024304,0,0,21.4543134872418,30.7060753341434
"50","2012-7","Staten Island",5.99771689497716,0,0,20.9237442922374,30.0041095890411
"51","2012-8","Bronx",2.37653169387313,0,0,20.6667161331355,28.9279414882341
"52","2012-8","Brooklyn",2.99341846758352,0,0,20.3873035363458,28.8729371316306
"53","2012-8","Manhattan",2.86799396681748,0,0,20.4514932126697,28.6525188536953
"54","2012-8","Queens",2.70916398713827,0,0,20.525884244373,28.941077170418
"55","2012-8","Staten Island",1.72471910112359,0,0,20.6771535580524,28.8288389513109
"56","2012-9","Bronx",3.41284662045061,0,0,16.0818240901213,24.3524263431543
"57","2012-9","Brooklyn",5.74470558503922,0,0,16.4100581248421,24.2464493303008
"58","2012-9","Manhattan",0.845508274231684,0,0,16.4303388494878,24.7776595744681
"59","2012-9","Queens",6.14428434197889,0,0,16.1420749279539,24.2096061479347
"60","2012-9","Staten Island",5.07116104868914,0,0,16.3913857677903,24.3179775280899
"61","2013-1","Bronx",3.83568567026194,2.20154083204929,1.97996918335895,-1.24748844375961,5.28758089368259
"62","2013-1","Brooklyn",4.11073903002313,2.90484988452655,1.63972286374127,-2.99304849884527,4.28898383371822
"63","2013-1","Manhattan",2.8432619647355,1.77078085642317,0.346347607052893,-0.732871536523941,5.41964735516372
"64","2013-1","Queens",3.32525896414344,0.999203187251008,0.159362549800795,-1.7618326693227,4.11115537848606
"65","2013-1","Staten Island",3.41140350877193,2.5,1.31578947368421,-1.7640350877193,4.84824561403508
"66","2013-10","Bronx",0.276491228070166,0,0,12.137149122807,20.2829166666667
"67","2013-10","Brooklyn",0.301949152542357,0,0,11.2906144067797,19.3156991525424
"68","2013-10","Manhattan",0.26940154440155,0,0,10.908462033462,18.9088803088803
"69","2013-10","Queens",0.201445086705201,0,0,10.723506743738,18.5169556840077
"70","2013-10","Staten Island",0.436962750716332,0,0,11.6037249283668,19.5209169054441
"71","2013-11","Bronx",7.07462857142857,0,0,2.15674285714285,10.3854857142857
"72","2013-11","Brooklyn",2.09207459207459,0,0,5.163344988345,12.4096153846154
"73","2013-11","Manhattan",2.7860037998733,0,0,4.58955034832175,11.8738230947858
"74","2013-11","Queens",3.66674018526686,0,0,3.79929422143801,11.1
"75","2013-11","Staten Island",3.64353876739562,0,0,2.95109343936382,10.2948310139165
"76","2013-12","Bronx",1.99102914389788,0,18.4836065573775,-0.233242258652074,6.43875227686701
"77","2013-12","Brooklyn",1.90351437699681,0.83386581469649,13.8338658146965,0.877955271565501,7.52252396166135
"78","2013-12","Manhattan",1.4581589958159,0.594142259414225,11.6652719665272,1.59422594142261,7.77673640167366
"79","2013-12","Queens",2.63985932004691,2.01875732708085,14.4665885111372,0.639155920281352,7.52485345838219
"80","2013-12","Staten Island",3.3,0,0.699300699300701,1.1027972027972,7.81678321678322
"81","2013-2","Bronx",3.32662320021735,9.22847052431366,10.5555555555561,-1.38538440641128,4.08168975821786
"82","2013-2","Brooklyn",2.6426159334126,3.09631391200929,0,-1.65529131985731,3.91051129607612
"83","2013-2","Manhattan",3.12903819604235,2.95904279797503,9.03773584905659,-1.20133456051541,4.50450989415556
"84","2013-2","Queens",4.38946731234867,6.93704600484233,9.56658595641677,-0.745217917675541,4.97167070217918
"85","2013-2","Staten Island",3.41582278481013,0.696202531645571,0,-1.78987341772152,4.13354430379747
"86","2013-3","Bronx",2.30691384950926,3.41461286804807,1.64623773173394,1.31919302071973,8.13967284623772
"87","2013-3","Brooklyn",1.93349410503752,3.06859592711685,2.26848874598069,0.986066452304391,7.74078242229367
"88","2013-3","Manhattan",2.86016499705359,5.91985857395397,1.14201532115497,0.890718915733652,7.88140836770772
"89","2013-3","Queens",3.36010329244676,5.94706262104577,4.31310522918012,1.3724338282763,8.03615235635895
"90","2013-3","Staten Island",3.43707865168539,3.20224719101124,3.29494382022472,1.28960674157303,8.01039325842697
"91","2013-4","Bronx",1.55835058661134,0,0,7.73566252587992,16.9566080055211
"92","2013-4","Brooklyn",0.824977085242927,0,0,7.41526122823097,16.6406966086159
"93","2013-4","Manhattan",1.20956952616907,0,0,8.27175596159803,17.5805512542583
"94","2013-4","Queens",1.74295999999997,0,0,7.65136,16.83808
"95","2013-4","Staten Island",0.820772946859907,0,0,8.5268115942029,17.8538647342995
"96","2013-5","Bronx",7.5331824764662,0,0,13.1550144822592,23.1481897175959
"97","2013-5","Brooklyn",3.62565418163167,0,0,12.1858902001026,22.7613134940995
"98","2013-5","Manhattan",7.07468814968783,0,0,12.3942567567568,22.4241424116424
"99","2013-5","Queens",5.93159771754626,0,0,12.4097004279601,22.4686875891583
"100","2013-5","Staten Island",9.43603603603603,0,0,12.0927927927928,22.0630630630631
"101","2013-6","Bronx",4.61499674690957,0,0,19.2112231620039,27.8067338972023
"102","2013-6","Brooklyn",5.728418230563,0,0,18.4106344950849,26.962109025916
"103","2013-6","Manhattan",3.71661427929952,0,0,18.8042658284688,27.6552312528065
"104","2013-6","Queens",7.4467256637168,0,0,18.2169911504425,26.3895575221239
"105","2013-6","Staten Island",8.42623762376237,0,0,18.8559405940594,27.1549504950495
"106","2013-7","Bronx",2.4598837209302,0,0,22.4520796064401,29.816614490161
"107","2013-7","Brooklyn",2.84135151890886,0,0,22.8216367017979,30.1783632982021
"108","2013-7","Manhattan",2.12312174179701,0,0,23.06875191659,30.4230910763569
"109","2013-7","Queens",2.37272727272727,0,0,22.3012032085561,29.6177807486631
"110","2013-7","Staten Island",2.37386363636364,0,0,22.1037878787879,29.4253787878788
"111","2013-8","Bronx",3.26050136928587,0,0,20.2409943121972,27.8683800294923
"112","2013-8","Brooklyn",3.34882116158714,0,0,20.3247843588269,27.835825186889
"113","2013-8","Manhattan",2.58116639914392,0,0,20.4883360085607,28.1454788657036
"114","2013-8","Queens",3.46011560693643,0,0,20.3598265895954,27.8148362235067
"115","2013-8","Staten Island",2.88181818181818,0,0,20.1556363636364,28.1836363636364
"116","2013-9","Bronx",2.13582167832164,0,0,15.0533216783217,24.7553146853147
"117","2013-9","Brooklyn",1.93117265763111,0,0,14.5925751325869,24.6072480848556
"118","2013-9","Manhattan",2.01584659913168,0,0,14.6944283646889,24.4549204052099
"119","2013-9","Queens",3.35027855153204,0,0,15.2321727019499,25.1981894150418
"120","2013-9","Staten Island",1.91111111111111,0,0,14.2853333333333,23.7271111111111
"121","2014-1","Bronx",2.62026397515529,14.7104037267081,18.1444099378882,-2.77492236024846,4.50636645962738
"122","2014-1","Brooklyn",1.993,14.1633333333333,6.08333333333334,-2.27849999999999,4.14166666666668
"123","2014-1","Manhattan",1.43016157989228,4.67145421903055,25.6912028725315,-2.6935368043088,4.70915619389587
"124","2014-1","Queens",2.12839160839161,8.26433566433563,11.7622377622377,-3.21706293706294,3.19076923076923
"125","2014-1","Staten Island",3.13909090909091,15.8,3.81818181818182,-2.27545454545455,5.05818181818182
"126","2014-10","Bronx",5.00486618004871,0,0,11.9256826169235,18.7726682887267
"127","2014-10","Brooklyn",4.24693675889325,0,0,12.6486166007905,19.4122035573123
"128","2014-10","Manhattan",2.39315610859725,0,0,13.5494909502262,20.2360294117647
"129","2014-10","Queens",3.98422680412367,0,0,12.2789175257732,19.2022164948454
"130","2014-10","Staten Island",3.64439359267734,0,0,12.8006864988558,19.4897025171625
"131","2014-11","Bronx",4.14328922495274,0.20085066162571,0,5.59333648393194,13.3447069943289
"132","2014-11","Brooklyn",5.78335183129851,0.527192008879029,0,3.7157602663707,11.2454495005549
"133","2014-11","Manhattan",5.31660926138537,0.269804822043631,0,2.50907003444318,10.0138155376961
"134","2014-11","Queens",6.37672663958212,0.295995356935577,0,3.62182240278583,11.4104468949507
"135","2014-11","Staten Island",4.66438596491227,0.184210526315789,0,4.34526315789474,11.7642105263158
"136","2014-12","Bronx",2.40411171450735,1.12490302560123,1.58262218774246,1.86617532971295,6.69751745539178
"137","2014-12","Brooklyn",1.95695001824152,0.68405691353522,0.897482670558158,2.53254286756658,7.84151769427214
"138","2014-12","Manhattan",2.92581320450891,1.11513687600636,2.24154589372005,2.01450885668276,6.91531400966183
"139","2014-12","Queens",3.82794891059356,0.826446280991747,1.01427498121714,2.14680691209617,6.91622839969947
"140","2014-12","Staten Island",2.03864734299517,1.57004830917875,1.44927536231884,1.1975845410628,6.65265700483091
